cftc_market_code,cftc_market_name,exchange,spine_symbol,asset_class,active
342603,2 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,,,,1
343601,10 YEAR ERIS SWAP  - CHICAGO BOARD OF TRADE,,,,0
343603,10 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,,,,1
344601,5 YEAR ERIS SWAP - CHICAGO BOARD OF TRADE,,,,0
344605,5 YEAR ERIS SOFR SWAP - CHICAGO BOARD OF TRADE,,,,1
399741,EURO FX/JAPANESE YEN XRATE - CHICAGO MERCANTILE EXCHANGE,,,,1
43874A,S&P 500 ANNUAL DIVIDEND INDEX - CHICAGO MERCANTILE EXCHANGE,,,,1
43874Q,S&P 500 QUARTERLY DIVIDEND IND - CHICAGO MERCANTILE EXCHANGE,,,,1
597741,3-MO. EUROYEN TIBOR - CHICAGO MERCANTILE EXCHANGE,,,,0
599661,EURO FX/BRITISH POUND - SMALL - ICE FUTURES U.S.,,,,1
ZB9105,5-Year Eris Standard- Initial - ERIS FUTURES EXCHANGE,,,,0
