date,spread_d10_d1,n_assets,deciles_present
2004-12-01,0.04659465306596932,1264,10
2005-01-01,0.027677401416209953,1267,10
2005-02-01,0.010593399606689292,1271,10
2005-03-01,-0.0490105152205524,1273,10
2005-04-01,0.016941960340247787,1274,10
2005-05-01,0.047003547070322234,1277,10
2005-06-01,0.03108700919777956,1281,10
2005-07-01,0.02881135774866708,1286,10
2005-08-01,0.026801457228027473,1292,10
2005-09-01,-0.04276420999805404,1297,10
2005-10-01,0.007104165236637954,1299,10
2005-11-01,0.032952201488728225,1305,10
2005-12-01,0.11341742251013673,1308,10
2006-01-01,0.006210535140164978,1311,10
2006-02-01,0.04981473372676869,1318,10
2006-03-01,0.008528862925053558,1322,10
2006-04-01,-0.057048836913578524,1324,10
2006-05-01,-0.013237135224233035,1327,10
2006-06-01,-0.04170590085208454,1331,10
2006-07-01,0.0004907098375322716,1335,10
2006-08-01,-0.02291255099708242,1336,10
2006-09-01,0.01695269962468076,1339,10
2006-10-01,0.007096160794935278,1346,10
2006-11-01,0.037508809139381365,1360,10
2006-12-01,0.030360170040282918,1363,10
2007-01-01,0.0012395917265594215,1370,10
2007-02-01,0.024059852389240386,1375,10
2007-03-01,0.0046269915504083044,1381,10
2007-04-01,0.045382412596353706,1387,10
2007-05-01,0.030881407665240494,1393,10
2007-06-01,0.008051428967960239,1397,10
2007-07-01,0.010214683909166637,1400,10
2007-08-01,0.046890873449387825,1404,10
2007-09-01,0.0483517769169778,1407,10
2007-10-01,0.025142972467373653,1415,10
2007-11-01,0.044429246614113016,1419,10
2007-12-01,-0.08255401201671556,1429,10
2008-01-01,0.06355020328078123,1433,10
2008-02-01,0.007953088680279365,1434,10
2008-03-01,0.021557357480649866,1439,10
2008-04-01,-0.05976437870769341,1440,10
2008-05-01,0.06332893158751164,1443,10
2008-06-01,-0.01445768050970981,1446,10
2008-07-01,-0.049876399941957965,1447,10
2008-08-01,0.018170285570301294,1450,10
2008-09-01,-0.028583602361922863,1453,10
2008-10-01,-0.018649070559685784,1453,10
2008-11-01,0.2269780138063114,1457,10
2008-12-01,0.0515934546296153,1457,10
2009-01-01,-0.0849868784796499,1458,10
2009-02-01,0.05594947417618705,1460,10
2009-03-01,0.004256699186927365,1461,10
