decile,target_value_spread_fwd_1m,date
2,-0.004411663353734669,2010-08-01
3,0.0033356899948392246,2010-08-01
4,0.006627619148339502,2010-08-01
5,-0.001245277542836217,2010-08-01
6,0.01757952023571389,2010-08-01
7,0.006155286980412073,2010-08-01
8,0.023617449914949507,2010-08-01
9,0.018371752471614523,2010-08-01
10,0.0475302430154946,2010-08-01
1,-0.010000554041714507,2010-09-01
2,-0.005161320869654479,2010-09-01
3,-0.0064093410870915924,2010-09-01
4,0.0032718135547345566,2010-09-01
5,0.016218462935421007,2010-09-01
6,0.006914431728025728,2010-09-01
7,0.008423393820526264,2010-09-01
8,0.007794935498726441,2010-09-01
9,0.012331178868287032,2010-09-01
10,0.018419925789712494,2010-09-01
1,-0.015930335027669537,2010-10-01
2,-0.0031014652385196154,2010-10-01
3,-0.000269414124972602,2010-10-01
4,-0.006153682387751982,2010-10-01
5,0.005387586959457959,2010-10-01
6,0.004147891558236732,2010-10-01
7,0.008159393470724162,2010-10-01
8,0.029518524294244498,2010-10-01
9,0.027203498130671144,2010-10-01
10,0.033528919579643636,2010-10-01
1,-0.00525652833179747,2010-11-01
2,-0.003847199698954825,2010-11-01
3,0.003553550136659037,2010-11-01
4,0.010862626392479199,2010-11-01
5,0.014225593644127475,2010-11-01
6,0.013634591232748459,2010-11-01
7,0.011110422487121975,2010-11-01
8,0.03138103042713495,2010-11-01
9,0.0174350456707994,2010-11-01
10,0.013343844205521711,2010-11-01
1,0.0059080409638166765,2010-12-01
2,0.008572940556648373,2010-12-01
3,0.012989212988718607,2010-12-01
4,-4.280710149013765e-05,2010-12-01
5,0.012226957669455944,2010-12-01
6,-0.004335767480492834,2010-12-01
7,-0.014362839090945162,2010-12-01
8,-0.003622913001160316,2010-12-01
9,-0.009581358779225,2010-12-01
10,0.005387504372392284,2010-12-01
1,-0.00024242962349888653,2011-01-01
2,0.003888168699843549,2011-01-01
3,0.0056135182045118975,2011-01-01
4,0.010197625189320483,2011-01-01
5,0.004099069127614501,2011-01-01
6,0.00381513268830731,2011-01-01
7,0.010095940490223027,2011-01-01
8,0.0072221120111814205,2011-01-01
9,-0.005411328797467248,2011-01-01
10,0.018295686089810123,2011-01-01
1,-0.00964550449432332,2011-02-01
2,-0.007219471358522781,2011-02-01
3,-0.001924289202885237,2011-02-01
4,0.0009327316442199923,2011-02-01
5,-0.001298444083960854,2011-02-01
6,0.005716849416548508,2011-02-01
7,0.010627742369662484,2011-02-01
8,0.018986930417466647,2011-02-01
9,0.021989541754991723,2011-02-01
10,0.012192820579497003,2011-02-01
1,-0.003971914569024164,2011-03-01
2,0.0005470486698881607,2011-03-01
3,0.0032661142756033328,2011-03-01
4,-0.00047631658569982676,2011-03-01
5,-0.0014943897408941343,2011-03-01
6,0.0022871075171589615,2011-03-01
7,0.00954465197022586,2011-03-01
8,-0.0027535929875589526,2011-03-01
9,-9.134514720756223e-05,2011-03-01
10,0.019643693506740157,2011-03-01
1,0.008221023688544323,2011-04-01
2,-0.006228021789697141,2011-04-01
3,0.010765818569178257,2011-04-01
4,0.004821526960521105,2011-04-01
5,0.00957436088007604,2011-04-01
6,-0.009029639051927931,2011-04-01
7,0.0009013891706732662,2011-04-01
8,-0.003915089215139759,2011-04-01
9,-0.0004018420133130936,2011-04-01
10,-0.002653206549534568,2011-04-01
1,-0.01117107044151905,2011-05-01
2,-0.003112436302126312,2011-05-01
3,-0.001059350435299298,2011-05-01
4,-0.004759481561381837,2011-05-01
5,0.003749546380470166,2011-05-01
6,0.00823911307183768,2011-05-01
7,0.014408281488181829,2011-05-01
8,0.012263697476271132,2011-05-01
9,0.0058065541965301466,2011-05-01
10,-0.0022921438970939967,2011-05-01
1,0.00951778762834044,2011-06-01
2,0.0004623023580278392,2011-06-01
3,0.0023544946677936103,2011-06-01
4,-0.007665219258716657,2011-06-01
5,-0.0014284434021663976,2011-06-01
6,0.0019010824213601832,2011-06-01
7,-0.01489568133361236,2011-06-01
8,-0.006640481202905679,2011-06-01
9,-0.0037115012057254994,2011-06-01
10,0.018718389539064084,2011-06-01
1,0.016914998871543907,2011-07-01
2,0.014414453640635632,2011-07-01
3,0.012243984383954996,2011-07-01
4,0.0028058936892256217,2011-07-01
5,0.0004087725738598153,2011-07-01
6,-0.003651784309404547,2011-07-01
7,0.0029117698144463643,2011-07-01
8,-0.024443846255190343,2011-07-01
9,-0.022243172171237086,2011-07-01
10,-0.029069907729011787,2011-07-01
1,0.04635441041250209,2011-08-01
2,0.021401678005811095,2011-08-01
3,0.01421203387537633,2011-08-01
4,-0.0006353758571677201,2011-08-01
5,-0.00350672805536259,2011-08-01
6,-0.01658547810806211,2011-08-01
7,-0.016098153963513794,2011-08-01
8,-0.018548939499493496,2011-08-01
9,-0.03282695069253859,2011-08-01
10,-0.04527297503702719,2011-08-01
1,-0.06986151090392309,2011-09-01
2,-0.04243191439317108,2011-09-01
3,-0.022349139200908794,2011-09-01
4,-0.005262579576801081,2011-09-01
5,0.009182717790562702,2011-09-01
6,0.010424045933014678,2011-09-01
7,0.026581901008909753,2011-09-01
8,0.045460875871901854,2011-09-01
9,0.08050805176290678,2011-09-01
10,0.09719700659301247,2011-09-01
1,-0.014052658067925728,2011-10-01
2,-0.005821708740139741,2011-10-01
3,0.00043992949162040675,2011-10-01
4,0.0006814024822014261,2011-10-01
5,0.002024741991479093,2011-10-01
6,0.008735658342658643,2011-10-01
7,-0.0005507285982201746,2011-10-01
8,0.006132787481980802,2011-10-01
9,0.0017093876021876018,2011-10-01
10,-0.008083321095248067,2011-10-01
1,-0.010860700371795026,2011-11-01
2,0.00010279269399942527,2011-11-01
3,0.002373179593198494,2011-11-01
4,-0.0013751012650266652,2011-11-01
