date,n_assets,deciles_present,spread_d10_d1,mean_pred,mean_realized
1999-01-01,996,10,-0.03461882716337407,0.006908860241710607,-0.00595763239398155
1999-02-01,999,10,0.06053211852972073,0.005663610151209968,0.02061832924588977
1999-03-01,1005,10,-0.1262027569860203,0.00295961721449324,0.016497250096620657
1999-04-01,1010,10,-0.012775955814534931,0.003448889761448724,0.0020124906878850957
1999-05-01,1014,10,0.10276104198919832,0.00639464921494821,0.022158869625849783
1999-06-01,1017,10,0.003664807669997794,0.00585882378015562,0.009621715519628848
1999-07-01,1022,10,0.0447265484885149,0.008400587853815724,0.010495906104752956
1999-08-01,1025,10,0.016047919068462743,0.01260274808617831,0.010100466651809348
1999-09-01,1029,10,0.11732868343082645,0.010841150444640039,0.01189773812028649
1999-10-01,1034,10,0.11809883443463134,0.008276935403004356,0.0343956266050468
